,source,target,source_id,target_id
18567,Bombing/Explosion,Business,7,11
18568,Bombing/Explosion,Private Citizens & Property,7,16
18569,Bombing/Explosion,Police,7,9
18570,Bombing/Explosion,Business,7,11
18571,Bombing/Explosion,Business,7,11
18572,Bombing/Explosion,Police,7,9
18573,Hijacking,Business,4,11
18574,Hostage Taking (Kidnapping),Government (General),2,14
18575,Bombing/Explosion,Government (Diplomatic),7,12
18576,Bombing/Explosion,Police,7,9
18577,Bombing/Explosion,Business,7,11
18578,Bombing/Explosion,Utilities,7,19
18579,Bombing/Explosion,Utilities,7,19
18580,Bombing/Explosion,Private Citizens & Property,7,16
18581,Bombing/Explosion,Journalists & Media,7,18
18582,Facility/Infrastructure Attack,Private Citizens & Property,6,16
18583,Bombing/Explosion,Government (General),7,14
18584,Bombing/Explosion,Police,7,9
18585,Bombing/Explosion,Private Citizens & Property,7,16
18586,Bombing/Explosion,Transportation,7,22
18587,Hostage Taking (Kidnapping),Government (General),2,14
18588,Bombing/Explosion,Business,7,11
18589,Bombing/Explosion,Transportation,7,22
18590,Bombing/Explosion,Transportation,7,22
18591,Bombing/Explosion,Military,7,13
18592,Bombing/Explosion,Business,7,11
18593,Bombing/Explosion,Utilities,7,19
18594,Bombing/Explosion,Private Citizens & Property,7,16
18595,Bombing/Explosion,Utilities,7,19
18596,Armed Assault,Business,1,11
18597,Assassination,Government (General),0,14
18598,Bombing/Explosion,Transportation,7,22
18599,Bombing/Explosion,Utilities,7,19
18600,Unknown,Military,3,13
18601,Unknown,Military,27,13
18602,Hostage Taking (Kidnapping),Business,2,11
18603,Armed Assault,Government (General),1,14
18604,Bombing/Explosion,Educational Institution,7,10
18605,Facility/Infrastructure Attack,Business,6,11
18606,Armed Assault,Business,1,11
18607,Hostage Taking (Kidnapping),Business,2,11
18608,Facility/Infrastructure Attack,Transportation,6,22
18609,Bombing/Explosion,Business,7,11
18610,Bombing/Explosion,Business,7,11
18611,Bombing/Explosion,Utilities,7,19
18612,Assassination,Government (General),0,14
18613,Bombing/Explosion,Utilities,7,19
18614,Facility/Infrastructure Attack,Business,6,11
18615,Bombing/Explosion,Utilities,7,19
18616,Bombing/Explosion,Utilities,7,19
18617,Bombing/Explosion,Private Citizens & Property,7,16
18618,Facility/Infrastructure Attack,Transportation,6,22
18619,Bombing/Explosion,Utilities,7,19
18620,Facility/Infrastructure Attack,Transportation,6,22
18621,Bombing/Explosion,Utilities,7,19
18622,Facility/Infrastructure Attack,Business,6,11
18623,Bombing/Explosion,Private Citizens & Property,7,16
18624,Bombing/Explosion,Utilities,7,19
18625,Hostage Taking (Kidnapping),Private Citizens & Property,2,16
18626,Bombing/Explosion,Utilities,7,19
18627,Bombing/Explosion,Private Citizens & Property,7,16
18628,Bombing/Explosion,Utilities,7,19
18629,Bombing/Explosion,Utilities,7,19
18630,Bombing/Explosion,Private Citizens & Property,7,16
18631,Hostage Taking (Kidnapping),Military,2,13
18632,Bombing/Explosion,Utilities,7,19
18633,Bombing/Explosion,Utilities,7,19
18634,Bombing/Explosion,Government (General),7,14
18635,Hostage Taking (Kidnapping),Private Citizens & Property,2,16
