,gname,country_txt
367,Croatian Nationalists,Paraguay
368,Montoneros (Argentina),Argentina
369,Argentine Anticommunist Alliance (AAA),Argentina
370,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
371,Unknown,Argentina
372,Political Military Organization of Paraguay,Argentina
373,Montoneros (Argentina),Argentina
374,Revolutionary Workers Party of Bolivia (PRTB),Bolivia
375,Movement of the Revolutionary Left (MIR) (Chile),Chile
376,Unknown,Colombia
377,Unknown,Colombia
378,Unknown,Colombia
379,Unknown,Colombia
380,Brazilian Anti-Communist Alliance (AAB),Brazil
381,Brazilian Anti-Communist Alliance (AAB),Brazil
382,Argentine Anticommunist Alliance (AAA),Argentina
383,Montoneros (Argentina),Argentina
384,Montoneros (Argentina),Argentina
385,Montoneros (Argentina),Argentina
386,Montoneros (Argentina),Argentina
387,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
388,Brazilian Anti-Communist Alliance (AAB),Brazil
389,Coordination of the United Revolutionary Organization (CORU),Argentina
390,Unknown,Colombia
391,Montoneros (Argentina),Argentina
392,Montoneros (Argentina),Argentina
393,Montoneros (Argentina),Argentina
394,Montoneros (Argentina),Argentina
395,Montoneros (Argentina),Argentina
396,Montoneros (Argentina),Argentina
397,Montoneros (Argentina),Argentina
398,Brazilian Anti-Communist Alliance (AAB),Brazil
399,Unknown,Ecuador
400,Unknown,Ecuador
401,Revolutionary Armed Forces of Colombia (FARC),Colombia
402,Montoneros (Argentina),Argentina
403,Montoneros (Argentina),Argentina
404,Montoneros (Argentina),Argentina
405,Montoneros (Argentina),Argentina
406,Unknown,Venezuela
407,Montoneros (Argentina),Argentina
408,Montoneros (Argentina),Argentina
409,Popular Revolutionary Vanguard (VPR),Brazil
410,Unknown,Colombia
411,Unknown,Colombia
412,Argentine Anticommunist Alliance (AAA),Argentina
413,Montoneros (Argentina),Argentina
414,Montoneros (Argentina),Argentina
415,Unknown,Colombia
416,Montoneros (Argentina),Argentina
417,Montoneros (Argentina),Argentina
418,Unknown,Argentina
419,Unknown,Colombia
420,Montoneros (Argentina),Argentina
421,Revolutionary Armed Forces of Colombia (FARC),Colombia
422,Revolutionary Workers Party,Colombia
423,Revolutionary Workers Party,Colombia
424,Red Flag (Venezuela),Venezuela
425,Revolutionary Armed Forces of Colombia (FARC),Colombia
426,Revolutionary Armed Forces of Colombia (FARC),Colombia
427,Montoneros (Argentina),Argentina
428,Unknown,Peru
429,Unknown,Venezuela
430,National Liberation Army of Colombia (ELN),Colombia
431,Montoneros (Argentina),Argentina
432,Montoneros (Argentina),Argentina
433,Revolutionary Armed Forces of Colombia (FARC),Colombia
434,National Liberation Army of Colombia (ELN),Colombia
435,Montoneros (Argentina),Argentina
436,Falange,Colombia
437,Montoneros (Argentina),Argentina
438,Popular Liberation Army (EPL),Colombia
439,Unknown,Chile
440,Unknown,Ecuador
441,Unknown,Ecuador
442,Unknown,Ecuador
443,Unknown,Ecuador
444,Unknown,Ecuador
445,Unknown,Ecuador
446,Unknown,Peru
447,Unknown,Peru
448,Unknown,Brazil
449,Popular Liberation Army (EPL),Colombia
450,Unknown,Chile
451,Montoneros (Argentina),Argentina
452,Unknown,Argentina
453,Pedro Leon Arboleda (PLA),Colombia
454,Pedro Leon Arboleda (PLA),Colombia
455,Pedro Leon Arboleda (PLA),Colombia
456,Pedro Leon Arboleda (PLA),Colombia
457,Pedro Leon Arboleda (PLA),Colombia
458,Coordination of the United Revolutionary Organization (CORU),Peru
459,Unknown,Bolivia
460,Unknown,Colombia
461,Unknown,Colombia
462,Revolutionary Armed Forces of Colombia (FARC),Colombia
463,Revolutionary Armed Forces of Colombia (FARC),Colombia
464,Unknown,Chile
465,Unknown,Chile
466,Revolutionary Armed Forces of Colombia (FARC),Colombia
467,Unknown,Colombia
468,Unknown,Colombia
469,Unknown,Colombia
470,Unknown,Colombia
471,Unknown,Colombia
472,Popular Liberation Army (EPL),Colombia
473,Revolutionary Armed Forces of Colombia (FARC),Colombia
474,National Liberation Army of Colombia (ELN),Colombia
475,Revolutionary Armed Forces of Colombia (FARC),Colombia
476,Revolutionary Armed Forces of Colombia (FARC),Colombia
477,Revolutionary Armed Forces of Colombia (FARC),Colombia
478,Revolutionary Armed Forces of Colombia (FARC),Colombia
479,Revolutionary Armed Forces of Colombia (FARC),Colombia
480,Revolutionary Armed Forces of Colombia (FARC),Colombia
481,Unknown,Colombia
482,Unknown,Colombia
483,Unknown,Colombia
484,National Liberation Army of Colombia (ELN),Colombia
485,Unknown,Chile
486,Unknown,Colombia
487,Unknown,Colombia
488,Unknown,Colombia
489,Revolutionary Armed Forces of Colombia (FARC),Colombia
490,Unknown,Colombia
491,Revolutionary Armed Forces of Colombia (FARC),Colombia
492,National Liberation Army of Colombia (ELN),Colombia
493,National Liberation Army of Colombia (ELN),Colombia
494,Montoneros (Argentina),Argentina
495,Unknown,Colombia
496,Revolutionary Armed Forces of Colombia (FARC),Colombia
497,Unknown,Colombia
498,Unknown,Colombia
499,Unknown,Colombia
500,Montoneros (Argentina),Argentina
501,Montoneros (Argentina),Argentina
502,Revolutionary Armed Forces of Colombia (FARC),Colombia
503,Unknown,Colombia
504,Popular Liberation Army (EPL),Colombia
505,Revolutionary Armed Forces of Colombia (FARC),Colombia
506,Revolutionary Armed Forces of Colombia (FARC),Colombia
507,Movement of the Revolutionary Left (MIR) (Chile),Chile
508,Popular Liberation Army (EPL),Colombia
509,Revolutionary Armed Forces of Colombia (FARC),Colombia
510,Popular Liberation Army (EPL),Colombia
511,National Liberation Army of Colombia (ELN),Colombia
512,Unknown,Colombia
513,Unknown,Colombia
514,Unknown,Colombia
515,Unknown,Colombia
516,Unknown,Colombia
517,National Liberation Army of Colombia (ELN),Colombia
518,Revolutionary Armed Forces of Colombia (FARC),Colombia
519,Popular Liberation Army (EPL),Colombia
520,Unknown,Ecuador
521,Unknown,Colombia
522,Revolutionary Armed Forces of Colombia (FARC),Colombia
523,Montoneros (Argentina),Argentina
524,Montoneros (Argentina),Argentina
525,Montoneros (Argentina),Argentina
526,Montoneros (Argentina),Argentina
527,Unknown,Venezuela
528,Revolutionary Armed Forces of Colombia (FARC),Colombia
529,Unknown,Argentina
530,Unknown,Argentina
531,Unknown,Colombia
532,Unknown,Colombia
533,Revolutionary Armed Forces of Colombia (FARC),Colombia
534,Popular Revolutionary Movement (Colombia),Colombia
535,Revolutionary Armed Forces of Colombia (FARC),Colombia
536,Revolutionary Armed Forces of Colombia (FARC),Colombia
537,Revolutionary Armed Forces of Colombia (FARC),Colombia
538,Unknown,Brazil
539,Revolutionary Armed Forces of Colombia (FARC),Colombia
540,M-19 (Movement of April 19),Colombia
541,M-19 (Movement of April 19),Colombia
542,Unknown,Argentina
543,Unknown,Argentina
544,Unknown,Argentina
545,Unknown,Bolivia
546,Unknown,Colombia
547,Unknown,Colombia
548,M-19 (Movement of April 19),Colombia
549,M-19 (Movement of April 19),Colombia
